school_name,level,school_type,ode_school_id,nces_school_id,street_address,city,zip_code,latitude,longitude,is_closure_candidate,closure_rank,is_title_i,is_urm_building,urm_retrofit_cost_usd,seismic_retrofit_status,recent_boundary_change,programs,has_dli,dli_languages,has_focus_option,dli_students_2526,neighborhood_students_2526,pct_dli_2526,year_built,square_feet,construction_type_2009,functional_capacity_2021,utilization_pct_2526,enrollment_2024_25,enrollment_2025_26,enrollment_pct_change,enrollment_2018,enrollment_2019,enrollment_2020,enrollment_2021,enrollment_2022,enrollment_2023,ccd_enrollment_2022,pct_ela_prof_2425,pct_math_prof_2425,pct_ela_prof_2324,pct_math_prof_2324,n_ela_participants_2425,n_math_participants_2425,pct_regular_attenders_2425,pct_experienced_teachers_2425,pct_teacher_retention_2425,class_size_2425,crdc_lep_2020,crdc_idea_2020,crdc_chronic_absent_2020,pct_lep,pct_idea,counselors_fte_2021,social_workers_fte_2021,psychologists_fte_2021,nurses_fte_2021,suspensions_2021,chronic_absent_2021,enrollment_crdc_2021,frl_free_lunch,frl_reduced_lunch,frl_direct_certification,pct_free_lunch,pct_frl,pct_direct_cert,pct_ai_an,pct_asian,pct_nhpi,pct_black,pct_hispanic,pct_white,pct_multiracial,affordable_units_within_1mi,pipeline_affordable_units_within_1mi,pipeline_family_units_within_1mi,n_pipeline_projects_within_1mi,permits_units_within_1mi_since_2022,n_permits_within_1mi_since_2022
Beaumont Middle School,middle,Regular School,831.0,411004000874.0,4043 NE Fremont St,Portland,97212,45.5489,-122.6208,False,,False,False,,,,Spanish DLI,True,Spanish,False,101.0,315.0,0.2428,1926.0,94431.0,LRCW,701.0,0.5934,435.0,416.0,-0.0437,571.0,573.0,518.0,469.0,446.0,434.0,446.0,65.1,60.5,60.0,53.9,418.0,417.0,78.0,96.0,77.0,26.0,67.0,80.0,114.0,0.1611,0.1923,2.0,0.5,0.0,0.27,294.0,153.0,466.0,290.0,0.0,58.0,0.6502,0.6502,0.13,0.0024,0.00721,0.0024,0.03846,0.23798,0.58654,0.125,747,84,60,1,220,118
Benson Polytechnic High School,high,Regular School,906.0,411004000956.0,3905 SE 91st Ave,Portland,97266,45.493749,-122.572439,False,,False,False,,full,,,False,,False,,,,1916.0,402846.0,URM,2203.0,0.4648,896.0,1024.0,0.1429,1036.0,1052.0,1005.0,899.0,824.0,818.0,824.0,42.5,25.0,39.4,15.7,153.0,116.0,59.0,90.0,87.0,26.0,70.0,194.0,492.0,0.0684,0.1895,3.0,1.0,0.0,1.0,174.0,407.0,898.0,534.0,0.0,122.0,0.6481,0.6481,0.1481,0.00293,0.04395,0.00391,0.10156,0.25781,0.47461,0.11523,1884,124,49,2,481,130
Beverly Cleary School ,other,Regular School,857.0,411004000901.0,1915 NE 33rd,Portland,97212,45.5369,-122.6315,False,,False,False,,,,,False,,False,,,,1911.0,73091.0,URM,783.0,0.613,535.0,480.0,-0.1028,782.0,743.0,691.0,656.0,604.0,558.0,604.0,78.3,70.9,74.9,71.5,404.0,402.0,88.0,100.0,92.0,28.0,9.0,91.0,37.0,0.0187,0.1896,2.0,0.0,0.0,0.54,0.0,101.0,656.0,41.0,8.0,18.0,0.0679,0.0811,0.0298,0.0,0.04375,0.0,0.02292,0.07292,0.71042,0.15,862,222,100,1,47,10
Boise-Eliot Elementary School,elementary,Regular School,833.0,411004000876.0,620 N Fremont,Portland,97227,45.5479,-122.6727,False,,True,False,,targeted,DBRAC 2018,,False,,False,,,,1926.0,61369.0,LRCW,651.0,0.4531,313.0,295.0,-0.0575,310.0,325.0,329.0,323.0,326.0,307.0,326.0,19.9,14.8,23.6,21.6,154.0,152.0,43.0,100.0,91.0,21.0,13.0,56.0,129.0,0.0441,0.1898,1.0,0.0,0.0,0.25,126.0,188.0,321.0,232.0,0.0,159.0,0.7117,0.7117,0.4877,0.00678,0.01017,0.0,0.41356,0.19661,0.2339,0.13898,2291,282,104,7,763,157
Bridger Creative Science School,k8,Regular School,834.0,411004000877.0,7910 SE Market St,Portland,97215,45.5106,-122.5821,False,,False,False,,full,SEGC 2023,Creative Science focus,False,,True,,,,1955.0,50595.0,Masonry,561.0,0.795,474.0,446.0,-0.0591,504.0,515.0,515.0,335.0,329.0,514.0,329.0,55.5,42.9,52.9,37.4,277.0,276.0,78.0,70.0,52.0,23.0,79.0,69.0,78.0,0.1771,0.1547,1.0,0.5,0.0,0.25,73.0,116.0,331.0,215.0,0.0,55.0,0.6535,0.6535,0.1672,0.00897,0.06502,0.00673,0.03363,0.09417,0.69507,0.09641,0,60,20,1,140,17
Bridlemile Elementary School,elementary,Regular School,835.0,411004000878.0,4300 SW 47th Dr,Portland,97221,45.4918,-122.7243,False,,False,False,,targeted,,,False,,False,,,,1958.0,58057.0,Wood,645.0,0.6558,418.0,423.0,0.012,518.0,508.0,437.0,435.0,458.0,446.0,458.0,77.9,73.7,76.4,71.2,213.0,213.0,84.0,88.0,86.0,20.0,21.0,63.0,36.0,0.0496,0.1489,1.0,0.0,0.0,0.25,15.0,102.0,435.0,54.0,6.0,21.0,0.1179,0.131,0.0459,0.00473,0.03783,0.0,0.0331,0.09456,0.70922,0.12057,97,0,0,0,23,23
Buckman Elementary School,elementary,Regular School,837.0,411004000880.0,320 SE 16th Ave,Portland,97214,45.5204,-122.649,False,,True,True,19750000.0,targeted,,Arts focus,False,,True,,,,1921.0,82023.0,LRCW,654.0,0.4327,306.0,283.0,-0.0752,450.0,427.0,448.0,400.0,395.0,371.0,395.0,54.0,44.0,54.9,46.4,176.0,175.0,73.0,86.0,85.0,15.0,11.0,81.0,56.0,0.0389,0.2862,1.0,0.5,0.0,0.25,138.0,129.0,400.0,257.0,0.0,69.0,0.6506,0.6506,0.1747,0.01413,0.02473,0.00353,0.04594,0.13781,0.62544,0.14841,2743,160,25,7,869,37
Capitol Hill Elementary School,elementary,Regular School,838.0,411004000881.0,8401 SW 17th Ave,Portland,97219,45.4643,-122.6957,False,,False,True,3430000.0,planned_targeted,,,False,,False,,,,1917.0,46379.0,Wood,456.0,0.7215,323.0,329.0,0.0186,443.0,416.0,346.0,324.0,333.0,361.0,333.0,67.5,62.1,64.0,60.2,160.0,161.0,85.0,100.0,84.0,23.5,11.0,26.0,20.0,0.0334,0.079,1.0,0.5,0.0,0.25,3.0,90.0,323.0,51.0,6.0,29.0,0.1532,0.1712,0.0871,0.0,0.0304,0.0,0.02432,0.11854,0.70213,0.12462,553,100,40,1,120,94
Chapman Elementary School,elementary,Regular School,839.0,411004000882.0,1445 NW 26th Ave,Portland,97210,45.5332,-122.7055,False,,True,False,,targeted,,,False,,False,,,,1923.0,59969.0,LRCW,618.0,0.5388,353.0,333.0,-0.0567,484.0,484.0,375.0,341.0,350.0,344.0,350.0,45.5,39.8,49.3,40.0,171.0,169.0,63.0,68.0,88.0,22.0,20.0,39.0,85.0,0.0601,0.1171,1.5,0.0,0.0,0.25,48.0,158.0,341.0,227.0,0.0,100.0,0.6486,0.6486,0.2857,0.02102,0.05405,0.00901,0.09309,0.17417,0.46547,0.18318,12730,852,103,10,1693,44
Clark Elementary School,elementary,Regular School,5817.0,,1231 SE 92nd Ave,Portland,97216,45.5133327,-122.5706442,False,,True,False,,,SEGC 2023,Chinese DLI,True,Chinese,False,91.0,272.0,0.25,,,,495.0,0.7333,330.0,363.0,0.1,,,,,,,,22.9,20.2,25.5,26.8,177.0,175.0,61.0,87.0,-1.0,20.5,,,,,,,,,,,,,,,,,0.0,,0.00826,0.24518,0.0854,0.1708,0.15978,0.21763,0.11295,419,0,0,0,157,66
